id,original,surface,pronunciation,type,category,org,debut_year,status,image,image_page,wikidata,channel,description,subscribers,subscribers_as_of,image_credit,image_usage,image_terms_page,scope,channel_shared
9,Cr1TiKaL,Cr1TiKaL,クリティカル,full,youtuber,NA,2007,current,http://commons.wikimedia.org/wiki/Special:FilePath/Cr1TiKaL_in_2022.jpg,https://commons.wikimedia.org/wiki/File:Cr1TiKaL_in_2022.jpg,Q98465764,penguinz0,YouTubeでのゲーム実況動画や、モノトーンな声とデッドパンな解説で人気を博した。,18200000,2026-08-18,,,,global,NA
10,DaiGo,DaiGo,ダイゴ,full,youtuber,NA,2013,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%AA%E3%82%B9%E3%83%88DaiGo.png,https://commons.wikimedia.org/wiki/File:%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%AA%E3%82%B9%E3%83%88DaiGo.png,Q11196499,メンタリスト DaiGo,メンタリスト、ブロガー、ニコ生主、YouTuber。,2210000,2026-08-18,,,,japan,NA
11,Daichi,Daichi,ダイチ,full,youtuber,NA,2009,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_77e98f8425.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_77e98f8425.svg,Q3700878,Daichi Beatboxer,ヒューマンビートボクサー、ボイスパーカッショニスト、YouTuber。,1590000,2026-08-18,,,,japan,NA
12,Etika,Etika,エティカ,full,youtuber,NA,2012,former,http://commons.wikimedia.org/wiki/Special:FilePath/Etika_in_2019_-_2.jpg,https://commons.wikimedia.org/wiki/File:Etika_in_2019_-_2.jpg,Q64825271,TR1Iceman,動画配信者、元モデル。,132000,2026-08-18,,,,global,NA
13,Fernanfloo,Fernanfloo,フェルナンフロウ,full,youtuber,NA,2011,current,http://commons.wikimedia.org/wiki/Special:FilePath/Fernanfloo_Creatour_Social_Media_Day.jpg,https://commons.wikimedia.org/wiki/File:Fernanfloo_Creatour_Social_Media_Day.jpg,Q38202210,Fernanfloo,エルサルバドルのゲーム実況者、YouTuber、Twitcher。,50500000,2026-08-18,,,,global,NA
14,佐藤隆彦,佐藤,サトウ,family,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_979fcab419.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_979fcab419.svg,,GG佐藤のエラーチャンネル,元プロ野球選手（外野手・内野手、右投右打）、野球解説者。,19400,2026-08-18,,,,unknown,no
14,佐藤隆彦,隆彦,タカヒコ,given,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_979fcab419.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_979fcab419.svg,,GG佐藤のエラーチャンネル,元プロ野球選手（外野手・内野手、右投右打）、野球解説者。,19400,2026-08-18,,,,unknown,no
14,佐藤隆彦,佐藤隆彦,サトウタカヒコ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_979fcab419.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_979fcab419.svg,,GG佐藤のエラーチャンネル,元プロ野球選手（外野手・内野手、右投右打）、野球解説者。,19400,2026-08-18,,,,unknown,no
15,GUNMA-17,GUNMA-17,グンマイチナナ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8c0a355080.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8c0a355080.svg,Q97636104,GUNMA-17,自称「リサイクル系YouTuber」。,615000,2026-08-18,,,,japan,no
16,GabiSklar,Gabi,ガビ,family,youtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_838090b2e0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_838090b2e0.svg,Q131633115,Gabi Sklar,アメリカのシンガーソングライター。,874000,2026-08-18,,,,global,NA
16,GabiSklar,Sklar,スクラー,given,youtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_838090b2e0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_838090b2e0.svg,Q131633115,Gabi Sklar,アメリカのシンガーソングライター。,874000,2026-08-18,,,,global,NA
16,GabiSklar,GabiSklar,ガビスクラー,full,youtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_838090b2e0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_838090b2e0.svg,Q131633115,Gabi Sklar,アメリカのシンガーソングライター。,874000,2026-08-18,,,,global,NA
17,GamerGrandma,GamerGrandma,ゲーマーグランマ,full,youtuber,NA,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_1bab51b5f2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_1bab51b5f2.svg,Q97590999,Gamer Grandma,ゲーム実況者。,537000,2026-08-18,,,,japan,NA
18,Genの炊事場,Genの炊事場,ゲンノスイジバ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8accf1db11.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8accf1db11.svg,Q125577992,すいじば SUIJIBA,主に料理などを中心とした動画を投稿している。,1510000,2026-08-18,,,,japan,no
19,HIKAKIN,HIKAKIN,ヒカキン,full,youtuber,吉池,2006,current,http://commons.wikimedia.org/wiki/Special:FilePath/HIKAKIN%28UUUM_FES_2017%29.png,https://commons.wikimedia.org/wiki/File:HIKAKIN%28UUUM_FES_2017%29.png,Q11222605,HikakinTV,慈善活動家、ヒューマンビートボクサー、最高顧問。,19800000,2026-08-18,,,,japan,NA
20,HIMAWARIちゃんねる,HIMAWARIちゃんねる,ヒマワリチャンネル,full,youtuber,NA,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e3e9fb1f68.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e3e9fb1f68.svg,Q109603914,HIMAWARIちゃんねる,NA,4000000,2026-08-18,,,,japan,NA
21,IchikaNito,Ichika,イチカ,family,youtuber,Dios,2012,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_767e1164aa.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_767e1164aa.svg,Q108109314,Ichika Nito,日本のギタリスト。,2760000,2026-08-18,,,,japan,NA
21,IchikaNito,Nito,ニト,given,youtuber,Dios,2012,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_767e1164aa.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_767e1164aa.svg,Q108109314,Ichika Nito,日本のギタリスト。,2760000,2026-08-18,,,,japan,NA
21,IchikaNito,IchikaNito,イチカニト,full,youtuber,Dios,2012,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_767e1164aa.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_767e1164aa.svg,Q108109314,Ichika Nito,日本のギタリスト。,2760000,2026-08-18,,,,japan,NA
22,KAZUYA,KAZUYA,カズヤ,full,youtuber,NA,2012,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_c7ee18b28c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_c7ee18b28c.svg,Q18545817,KAZUYA Channel,動画配信者、著作家。,627000,2026-08-18,,,,japan,NA
24,KUN,KUN,クン,full,youtuber,NA,2013,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_20b7d440e5.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_20b7d440e5.svg,Q56354401,KUN,元プロゲーマー、声優。,1670000,2026-08-18,,,,unknown,NA
25,Killin9Hit,Killin9Hit,キリングヒット,full,youtuber,NA,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_b4b88c6516.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_b4b88c6516.svg,Q113566811,KH / Killin9Hit,元プロゲーマー、YouTuber、ストリーマー。主にライブ配信プラットフォーム「Twitch」で配信者として活動している。,451000,2026-08-18,,,,global,NA
26,LeftyHandCream,LeftyHandCream,レフティーハンドクリーム,full,youtuber,NA,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_28191f225e.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_28191f225e.svg,Q88919989,Lefty Hand Cream【Official】,日本の女性YouTubeアーティスト、歌手。,499000,2026-08-18,,,,japan,no
27,LiLi,LiLi,リリ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_bef37f7a9e.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_bef37f7a9e.svg,Q131225944,らリリ、るれろ,歌手。,402000,2026-08-18,,,,japan,no
28,LiaqN,LiaqN,リアン,full,youtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0d220ffddd.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0d220ffddd.svg,Q126006133,LiaqN【りあん】,男性ストリーマー、YouTuber、プロeスポーツチーム「QT DIG∞」チームオーナー。,1280000,2026-08-18,,,,japan,NA
29,MARIMO。,MARIMO。,マリモ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ac2f7de2fc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ac2f7de2fc.svg,Q132431859,MARIMO MUSIC。,アーティストである。,12300,2026-08-18,,,,japan,no
30,MEGWIN,MEGWIN,メグウィン,full,youtuber,NA,NA,current,http://commons.wikimedia.org/wiki/Special:FilePath/Koenji_station.JPG,https://commons.wikimedia.org/wiki/File:Koenji_station.JPG,Q10851651,MEGWIN,コメディアン、YouTuber、実業家。,925000,2026-08-18,,,,japan,no
31,MINAMI,MINAMI,ミナミ,full,youtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0e6fd5fbde.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0e6fd5fbde.svg,Q102247615,みなみチャンネル,TikToker、インフルエンサー、歌手である。,1140000,2026-08-18,,,,unknown,NA
32,Masuo,Masuo,マスオ,full,youtuber,NA,2012,current,http://commons.wikimedia.org/wiki/Special:FilePath/Masuo_YouTuber.png,https://commons.wikimedia.org/wiki/File:Masuo_YouTuber.png,Q81783459,MasuoTV,ストリーマー。,1300000,2026-08-18,,,,japan,no
33,MindaRyn,MindaRyn,マイダリン,full,youtuber,NA,2020,current,http://commons.wikimedia.org/wiki/Special:FilePath/MindaRyn_singing_Guilty_Crown_Release_my_soul_cover.jpg,https://commons.wikimedia.org/wiki/File:MindaRyn_singing_Guilty_Crown_Release_my_soul_cover.jpg,Q108413780,MindaRyn _,アニソンシンガー。,1170000,2026-08-18,,,,global,no
34,Motomu,Motomu,モトム,full,youtuber,NA,2016,current,http://commons.wikimedia.org/wiki/Special:FilePath/Wiki_Motomu.jpg,https://commons.wikimedia.org/wiki/File:Wiki_Motomu.jpg,Q133933589,Motomu Official YouTube,2021年10月に1stシングル「消えないもの」が、各種音楽配信サービス及びカラオケJOYSOUNDにて先行フル配信された。,144,2026-08-18,,,,japan,NA
35,Mxmtoon,Mxmtoon,エムエックスエムトゥーン,full,youtuber,NA,2017,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mxmtoon.jpg,https://commons.wikimedia.org/wiki/File:Mxmtoon.jpg,Q66809901,mxmtoon,実家ゲストルームで録音したデビューEP plum blossomが1億以上ストリーミングを記録し名前を知らせ始めた。,971000,2026-08-18,,,,global,NA
36,Namewee,Namewee,ネームウィー,full,youtuber,NA,2007,current,http://commons.wikimedia.org/wiki/Special:FilePath/Namewee_2016_2.jpg,https://commons.wikimedia.org/wiki/File:Namewee_2016_2.jpg,Q717075,Namewee,マレーシアのマルチタレント。,3620000,2026-08-18,,,,global,NA
37,NekonoMECafe,NekonoMECafe,ネコノメカフェ,full,youtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_38ff4ef3f3.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_38ff4ef3f3.svg,Q128852422,NekonoME Cafe【ネコノメカフェ】,幅広くレシピ動画を投稿している。,313000,2026-08-18,,,,japan,NA
38,NileRed,NileRed,ナイルレッド,full,youtuber,NA,2014,current,http://commons.wikimedia.org/wiki/Special:FilePath/NileRed%2C_2023_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:NileRed%2C_2023_%28cropped%29.jpg,Q97315692,NileRed,主に化学実験の動画を投稿している。,10900000,2026-08-18,,,,global,NA
39,POOH熊谷,POOH熊谷,プークマガイ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e822e4ab62.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e822e4ab62.svg,Q138418029,POOH'S MODELING WORKS,プロモデラー、模型ライター、YouTuber。,34600,2026-08-18,,,,japan,no
40,Philza,Philza,フィルザ,full,youtuber,Dream SMP,2006,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_118e6b8871.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_118e6b8871.svg,Q110621093,Ph1LzA,Twitchストリーマー、YouTuberである。,2930000,2026-08-18,,,,unknown,NA
42,P丸様。,P丸様。,ピーマルサマ,full,youtuber,NA,2016,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_a18e3319af.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_a18e3319af.svg,Q90599557,P丸様。,YouTubeやTikTokなどの動画投稿サイトで活動をしているマルチエンターテイナー。,3180000,2026-08-18,,,,japan,NA
43,QPark,Q,キュー,family,youtuber,メリルリンチ,2007,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ed14911320.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ed14911320.svg,Q104112411,QPark,アメリカ合衆国ニューヨークに住む韓国系アメリカ人のYouTuberである。,11500000,2026-08-18,,,,global,NA
43,QPark,Park,パーク,given,youtuber,メリルリンチ,2007,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ed14911320.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ed14911320.svg,Q104112411,QPark,アメリカ合衆国ニューヨークに住む韓国系アメリカ人のYouTuberである。,11500000,2026-08-18,,,,global,NA
43,QPark,QPark,キューパーク,full,youtuber,メリルリンチ,2007,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ed14911320.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ed14911320.svg,Q104112411,QPark,アメリカ合衆国ニューヨークに住む韓国系アメリカ人のYouTuberである。,11500000,2026-08-18,,,,global,NA
44,QrazyChocolate,QrazyChocolate,クレイジーチョコレート,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_04be5e2e67.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_04be5e2e67.svg,Q138034133,Qrazy Chocolate クレイジーチョコレート,お菓子系YouTuberである。,682000,2026-08-18,,,,japan,no
45,REDMemory,REDMemory,レッドメモリー,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_699c73a171.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_699c73a171.svg,Q138418257,RED Memory,自動車のDIY・整備・塗装・カスタム手法をテーマにした動画で知られている。,439000,2026-08-18,,,,japan,no
46,RiceGum,RiceGum,ライスガム,full,youtuber,NA,2012,current,http://commons.wikimedia.org/wiki/Special:FilePath/RiceGum_-_Tanner_Fox.png,https://commons.wikimedia.org/wiki/File:RiceGum_-_Tanner_Fox.png,Q47500036,RiceGum,ラッパー。,9770000,2026-08-18,,,,global,NA
48,高山沙織,高山,タカヤマ,family,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d90bcffd06.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d90bcffd06.svg,,散歩するアンドロイド,モデル、YouTuber。,465000,2026-08-18,,,,unknown,no
48,高山沙織,沙織,サオリ,given,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d90bcffd06.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d90bcffd06.svg,,散歩するアンドロイド,モデル、YouTuber。,465000,2026-08-18,,,,unknown,no
48,高山沙織,高山沙織,タカヤマサオリ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d90bcffd06.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d90bcffd06.svg,,散歩するアンドロイド,モデル、YouTuber。,465000,2026-08-18,,,,unknown,no
49,SEIKIN,SEIKIN,セイキン,full,youtuber,NA,2012,current,http://commons.wikimedia.org/wiki/Special:FilePath/HIKAKIN_%26_SEIKIN_U-FES._2019_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:HIKAKIN_%26_SEIKIN_U-FES._2019_%28cropped%29.jpg,Q52717766,SeikinTV,作曲家・歌手としても活動を行っている。,5070000,2026-08-18,,,,japan,no
50,SHAKA,SHAKA,シャカ,full,youtuber,ZETA DIVISION,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_c0e1df99c3.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_c0e1df99c3.svg,Q56347712,SHAKAch,元プロゲーマー、ストリーマー、YouTuber。主にライブ配信プラットフォームTwitchで配信活動をしている。,1220000,2026-08-18,,,,japan,NA
51,SPYGEA,SPYGEA,スパイギア,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_9360b08183.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_9360b08183.svg,Q109287648,SPYGEA / スパイギア,元プロゲーマー、ストリーマー、YouTuberである。主にライブ配信プラットフォームTwitchで配信活動している。,311000,2026-08-18,,,,japan,no
52,Sharla,Sharla,シャーラ,full,youtuber,NA,NA,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sharmeleon.png,https://commons.wikimedia.org/wiki/File:Sharmeleon.png,Q79843678,Sharmeleon,メディアでは「在日外国人YouTuberのパイオニア的存在」として紹介されている。,791000,2026-08-18,,,,global,no
53,SkyDoesMinecraft,SkyDoesMinecraft,スカイダズマインクラフト,full,youtuber,NA,2011,current,http://commons.wikimedia.org/wiki/Special:FilePath/SkyDoesMinecraft.png,https://commons.wikimedia.org/wiki/File:SkyDoesMinecraft.png,Q104777492,Sky Does Everything,ダールバーグは2011年に初めてYouTubeに参加した。,10800000,2026-08-18,,,,global,NA
54,Swind,Swind,スインド,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ae53e5fb41.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ae53e5fb41.svg,Q77810919,Swind【名古屋めし愛好家】,小説家、漫画原作者、名古屋めし専門料理研究家、YouTuber。,6480,2026-08-18,,,,japan,no
56,UraN,UraN,ウラン,full,youtuber,くれいじーまぐねっと,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_dac5188c3f.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_dac5188c3f.svg,Q97167301,くれいじーまぐねっと CrazyMagnet,ぽっちゃり女子向けファッション誌「la farfa」専属モデル。,NA,NA,,,,japan,yes
57,あいすけ,あいすけ,アイスケ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_5c235527d7.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_5c235527d7.svg,Q11256620,あいすけ_,お笑い芸人（ピン芸人）、YouTuber。,5500,2026-08-18,,,,japan,no
58,あおい,あおい,アオイ,full,youtuber,NA,2020,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e9b0c313e1.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e9b0c313e1.svg,Q113566906,ぶーちゃんねる-歌舞伎町リアル-,インフルエンサー、タレント、YouTuber。,253000,2026-08-18,,,,japan,NA
59,あきとんとん,あきとんとん,アキトントン,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_22665b76e2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_22665b76e2.svg,Q140570278,【楽しい授業動画】あきとんとん,教育系YouTuber。,752000,2026-08-18,,,,unknown,no
60,あきぴで,あきぴで,アキピデ,full,youtuber,NA,2021,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_9dde5b4069.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_9dde5b4069.svg,Q123408018,チェリー東大 /あきぴで,主に学歴や受験を題材にした動画を投稿している。,729000,2026-08-18,,,,japan,NA
61,あさぎーにょ,あさぎーにょ,アサギーニョ,full,youtuber,NA,2015,current,http://commons.wikimedia.org/wiki/Special:FilePath/Super%21_C_CHANNEL_2018_Asagiinyo_%2844562895054%29.jpg,https://commons.wikimedia.org/wiki/File:Super%21_C_CHANNEL_2018_Asagiinyo_%2844562895054%29.jpg,Q60987505,あさぎーにょ,クリエイティブアーティスト、YouTuber、ファッションブランド『POPPY』ディレクター。,1580000,2026-08-18,,,,japan,NA
