id,original,surface,pronunciation,type1,type2,generation,genus,rarity,height_m,weight_kg,evolves_from,description,image,image_page
1027,メガリザードンX,メガリザードンX,メガリザードンX,ほのお,ドラゴン,6,かえんポケモン,NA,1.7,110.5,リザード,かえんポケモン。ほのお・ドラゴンタイプ。初登場はX・Y。リザードから進化。高さ1.7m、重さ110.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_4a8c36cc14.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1028,メガリザードンY,メガリザードンY,メガリザードンY,ほのお,ひこう,6,かえんポケモン,NA,1.7,100.5,リザード,かえんポケモン。ほのお・ひこうタイプ。初登場はX・Y。リザードから進化。高さ1.7m、重さ100.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_7f22da9eac.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1029,リザードン（キョダイマックスのすがた）,リザードン,リザードン,ほのお,ひこう,8,かえんポケモン,NA,28.0,1000.0,リザード,かえんポケモン。ほのお・ひこうタイプ。初登場はソード・シールド。リザードから進化。高さ28.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_17bd5f00fb.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1029,リザードン（キョダイマックスのすがた）,キョダイマックスリザードン,キョダイマックスリザードン,ほのお,ひこう,8,かえんポケモン,NA,28.0,1000.0,リザード,かえんポケモン。ほのお・ひこうタイプ。初登場はソード・シールド。リザードから進化。高さ28.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_17bd5f00fb.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1029,リザードン（キョダイマックスのすがた）,リザードン（キョダイマックスのすがた）,リザードンキョダイマックスのすがた,ほのお,ひこう,8,かえんポケモン,NA,28.0,1000.0,リザード,かえんポケモン。ほのお・ひこうタイプ。初登場はソード・シールド。リザードから進化。高さ28.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_17bd5f00fb.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
6,ゼニガメ,ゼニガメ,ゼニガメ,みず,NA,1,かめのこポケモン,NA,0.5,9.0,NA,かめのこポケモン。みずタイプ。初登場は赤・緑。高さ0.5m、重さ9.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_869a577c41.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
7,カメール,カメール,カメール,みず,NA,1,かめポケモン,NA,1.0,22.5,ゼニガメ,かめポケモン。みずタイプ。初登場は赤・緑。ゼニガメから進化。高さ1.0m、重さ22.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_bb3de1b5ba.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
8,カメックス,カメックス,カメックス,みず,NA,1,こうらポケモン,NA,1.6,85.5,カメール,こうらポケモン。みずタイプ。初登場は赤・緑。カメールから進化。高さ1.6m、重さ85.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_69a2471524.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1030,メガカメックス,メガカメックス,メガカメックス,みず,NA,6,こうらポケモン,NA,1.6,101.1,カメール,こうらポケモン。みずタイプ。初登場はX・Y。カメールから進化。高さ1.6m、重さ101.1kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_c468aa1d43.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1031,カメックス（キョダイマックスのすがた）,カメックス,カメックス,みず,NA,8,こうらポケモン,NA,25.0,1000.0,カメール,こうらポケモン。みずタイプ。初登場はソード・シールド。カメールから進化。高さ25.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_f8c2f9d9ca.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1031,カメックス（キョダイマックスのすがた）,キョダイマックスカメックス,キョダイマックスカメックス,みず,NA,8,こうらポケモン,NA,25.0,1000.0,カメール,こうらポケモン。みずタイプ。初登場はソード・シールド。カメールから進化。高さ25.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_f8c2f9d9ca.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1031,カメックス（キョダイマックスのすがた）,カメックス（キョダイマックスのすがた）,カメックスキョダイマックスのすがた,みず,NA,8,こうらポケモン,NA,25.0,1000.0,カメール,こうらポケモン。みずタイプ。初登場はソード・シールド。カメールから進化。高さ25.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_f8c2f9d9ca.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
9,キャタピー,キャタピー,キャタピー,むし,NA,1,いもむしポケモン,NA,0.3,2.9,NA,いもむしポケモン。むしタイプ。初登場は赤・緑。高さ0.3m、重さ2.9kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_9cf980b556.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
10,トランセル,トランセル,トランセル,むし,NA,1,さなぎポケモン,NA,0.7,9.9,キャタピー,さなぎポケモン。むしタイプ。初登場は赤・緑。キャタピーから進化。高さ0.7m、重さ9.9kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_a2c83eec2e.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
11,バタフリー,バタフリー,バタフリー,むし,ひこう,1,ちょうちょポケモン,NA,1.1,32.0,トランセル,ちょうちょポケモン。むし・ひこうタイプ。初登場は赤・緑。トランセルから進化。高さ1.1m、重さ32.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_2a103bda6c.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1032,バタフリー（キョダイマックスのすがた）,バタフリー,バタフリー,むし,ひこう,8,ちょうちょポケモン,NA,17.0,1000.0,トランセル,ちょうちょポケモン。むし・ひこうタイプ。初登場はソード・シールド。トランセルから進化。高さ17.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_ef564268bb.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1032,バタフリー（キョダイマックスのすがた）,キョダイマックスバタフリー,キョダイマックスバタフリー,むし,ひこう,8,ちょうちょポケモン,NA,17.0,1000.0,トランセル,ちょうちょポケモン。むし・ひこうタイプ。初登場はソード・シールド。トランセルから進化。高さ17.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_ef564268bb.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1032,バタフリー（キョダイマックスのすがた）,バタフリー（キョダイマックスのすがた）,バタフリーキョダイマックスのすがた,むし,ひこう,8,ちょうちょポケモン,NA,17.0,1000.0,トランセル,ちょうちょポケモン。むし・ひこうタイプ。初登場はソード・シールド。トランセルから進化。高さ17.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_ef564268bb.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
12,ビードル,ビードル,ビードル,むし,どく,1,けむしポケモン,NA,0.3,3.2,NA,けむしポケモン。むし・どくタイプ。初登場は赤・緑。高さ0.3m、重さ3.2kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_98b3f56de5.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
13,コクーン,コクーン,コクーン,むし,どく,1,さなぎポケモン,NA,0.6,10.0,ビードル,さなぎポケモン。むし・どくタイプ。初登場は赤・緑。ビードルから進化。高さ0.6m、重さ10.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_8c002f3fa0.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
14,スピアー,スピアー,スピアー,むし,どく,1,どくばちポケモン,NA,1.0,29.5,コクーン,どくばちポケモン。むし・どくタイプ。初登場は赤・緑。コクーンから進化。高さ1.0m、重さ29.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_3346bd499e.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1033,メガスピアー,メガスピアー,メガスピアー,むし,どく,6,どくばちポケモン,NA,1.4,40.5,コクーン,どくばちポケモン。むし・どくタイプ。初登場はX・Y。コクーンから進化。高さ1.4m、重さ40.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e187d57c88.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
15,ポッポ,ポッポ,ポッポ,ノーマル,ひこう,1,ことりポケモン,NA,0.3,1.8,NA,ことりポケモン。ノーマル・ひこうタイプ。初登場は赤・緑。高さ0.3m、重さ1.8kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_7bedd86416.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
16,ピジョン,ピジョン,ピジョン,ノーマル,ひこう,1,とりポケモン,NA,1.1,30.0,ポッポ,とりポケモン。ノーマル・ひこうタイプ。初登場は赤・緑。ポッポから進化。高さ1.1m、重さ30.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_8332abc3ab.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
17,ピジョット,ピジョット,ピジョット,ノーマル,ひこう,1,とりポケモン,NA,1.5,39.5,ピジョン,とりポケモン。ノーマル・ひこうタイプ。初登場は赤・緑。ピジョンから進化。高さ1.5m、重さ39.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_a297aa8bf9.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1034,メガピジョット,メガピジョット,メガピジョット,ノーマル,ひこう,6,とりポケモン,NA,2.2,50.5,ピジョン,とりポケモン。ノーマル・ひこうタイプ。初登場はX・Y。ピジョンから進化。高さ2.2m、重さ50.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_cb2371ee79.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
18,コラッタ,コラッタ,コラッタ,ノーマル,NA,1,ねずみポケモン,NA,0.3,3.5,NA,ねずみポケモン。ノーマルタイプ。初登場は赤・緑。高さ0.3m、重さ3.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_3c0afdaa34.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1035,コラッタ（アローラのすがた）,コラッタ,コラッタ,あく,ノーマル,7,ねずみポケモン,NA,0.3,3.8,NA,ねずみポケモン。あく・ノーマルタイプ。初登場はサン・ムーン。高さ0.3m、重さ3.8kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e269ad6a1a.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1035,コラッタ（アローラのすがた）,アローラコラッタ,アローラコラッタ,あく,ノーマル,7,ねずみポケモン,NA,0.3,3.8,NA,ねずみポケモン。あく・ノーマルタイプ。初登場はサン・ムーン。高さ0.3m、重さ3.8kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e269ad6a1a.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1035,コラッタ（アローラのすがた）,コラッタ（アローラのすがた）,コラッタアローラのすがた,あく,ノーマル,7,ねずみポケモン,NA,0.3,3.8,NA,ねずみポケモン。あく・ノーマルタイプ。初登場はサン・ムーン。高さ0.3m、重さ3.8kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e269ad6a1a.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
19,ラッタ,ラッタ,ラッタ,ノーマル,NA,1,ねずみポケモン,NA,0.7,18.5,コラッタ,ねずみポケモン。ノーマルタイプ。初登場は赤・緑。コラッタから進化。高さ0.7m、重さ18.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_b60bc148d7.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1036,ラッタ（アローラのすがた）,ラッタ,ラッタ,あく,ノーマル,7,ねずみポケモン,NA,0.7,25.5,コラッタ,ねずみポケモン。あく・ノーマルタイプ。初登場はサン・ムーン。コラッタから進化。高さ0.7m、重さ25.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_61d0d4eeac.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1036,ラッタ（アローラのすがた）,アローララッタ,アローララッタ,あく,ノーマル,7,ねずみポケモン,NA,0.7,25.5,コラッタ,ねずみポケモン。あく・ノーマルタイプ。初登場はサン・ムーン。コラッタから進化。高さ0.7m、重さ25.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_61d0d4eeac.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1036,ラッタ（アローラのすがた）,ラッタ（アローラのすがた）,ラッタアローラのすがた,あく,ノーマル,7,ねずみポケモン,NA,0.7,25.5,コラッタ,ねずみポケモン。あく・ノーマルタイプ。初登場はサン・ムーン。コラッタから進化。高さ0.7m、重さ25.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_61d0d4eeac.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
20,オニスズメ,オニスズメ,オニスズメ,ノーマル,ひこう,1,ことりポケモン,NA,0.3,2.0,NA,ことりポケモン。ノーマル・ひこうタイプ。初登場は赤・緑。高さ0.3m、重さ2.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_8530197086.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
21,オニドリル,オニドリル,オニドリル,ノーマル,ひこう,1,くちばしポケモン,NA,1.2,38.0,オニスズメ,くちばしポケモン。ノーマル・ひこうタイプ。初登場は赤・緑。オニスズメから進化。高さ1.2m、重さ38.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_38b406565e.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
22,アーボ,アーボ,アーボ,どく,NA,1,へびポケモン,NA,2.0,6.9,NA,へびポケモン。どくタイプ。初登場は赤・緑。高さ2.0m、重さ6.9kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_23163ddc94.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
23,アーボック,アーボック,アーボック,どく,NA,1,コブラポケモン,NA,3.5,65.0,アーボ,コブラポケモン。どくタイプ。初登場は赤・緑。アーボから進化。高さ3.5m、重さ65.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_9e5c69f64c.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
24,ピカチュウ,ピカチュウ,ピカチュウ,でんき,NA,1,ねずみポケモン,NA,0.4,6.0,ピチュー,ねずみポケモン。でんきタイプ。初登場は赤・緑。ピチューから進化。高さ0.4m、重さ6.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_97508e50a6.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1037,ピカチュウ（キョダイマックスのすがた）,ピカチュウ,ピカチュウ,でんき,NA,8,ねずみポケモン,NA,21.0,1000.0,ピチュー,ねずみポケモン。でんきタイプ。初登場はソード・シールド。ピチューから進化。高さ21.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_1a47960627.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1037,ピカチュウ（キョダイマックスのすがた）,キョダイマックスピカチュウ,キョダイマックスピカチュウ,でんき,NA,8,ねずみポケモン,NA,21.0,1000.0,ピチュー,ねずみポケモン。でんきタイプ。初登場はソード・シールド。ピチューから進化。高さ21.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_1a47960627.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1037,ピカチュウ（キョダイマックスのすがた）,ピカチュウ（キョダイマックスのすがた）,ピカチュウキョダイマックスのすがた,でんき,NA,8,ねずみポケモン,NA,21.0,1000.0,ピチュー,ねずみポケモン。でんきタイプ。初登場はソード・シールド。ピチューから進化。高さ21.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_1a47960627.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
25,ライチュウ,ライチュウ,ライチュウ,でんき,NA,1,ねずみポケモン,NA,0.8,30.0,ピカチュウ,ねずみポケモン。でんきタイプ。初登場は赤・緑。ピカチュウから進化。高さ0.8m、重さ30.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_62fdc82a1c.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1038,ライチュウ（アローラのすがた）,ライチュウ,ライチュウ,でんき,エスパー,7,ねずみポケモン,NA,0.7,21.0,ピカチュウ,ねずみポケモン。でんき・エスパータイプ。初登場はサン・ムーン。ピカチュウから進化。高さ0.7m、重さ21.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_0bfbc1c079.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1038,ライチュウ（アローラのすがた）,アローラライチュウ,アローラライチュウ,でんき,エスパー,7,ねずみポケモン,NA,0.7,21.0,ピカチュウ,ねずみポケモン。でんき・エスパータイプ。初登場はサン・ムーン。ピカチュウから進化。高さ0.7m、重さ21.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_0bfbc1c079.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1038,ライチュウ（アローラのすがた）,ライチュウ（アローラのすがた）,ライチュウアローラのすがた,でんき,エスパー,7,ねずみポケモン,NA,0.7,21.0,ピカチュウ,ねずみポケモン。でんき・エスパータイプ。初登場はサン・ムーン。ピカチュウから進化。高さ0.7m、重さ21.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_0bfbc1c079.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1039,メガライチュウX,メガライチュウX,メガライチュウX,でんき,NA,9,ねずみポケモン,NA,1.2,38.0,ピカチュウ,ねずみポケモン。でんきタイプ。初登場はスカーレット・バイオレット。ピカチュウから進化。高さ1.2m、重さ38.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_47d155496a.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1040,メガライチュウY,メガライチュウY,メガライチュウY,でんき,NA,9,ねずみポケモン,NA,1.0,26.0,ピカチュウ,ねずみポケモン。でんきタイプ。初登場はスカーレット・バイオレット。ピカチュウから進化。高さ1.0m、重さ26.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_af9dd3b7ee.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
26,サンド,サンド,サンド,じめん,NA,1,ねずみポケモン,NA,0.6,12.0,NA,ねずみポケモン。じめんタイプ。初登場は赤・緑。高さ0.6m、重さ12.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_4da0b60cc7.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1041,サンド（アローラのすがた）,サンド,サンド,こおり,はがね,7,ねずみポケモン,NA,0.7,40.0,NA,ねずみポケモン。こおり・はがねタイプ。初登場はサン・ムーン。高さ0.7m、重さ40.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_91b88f0343.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1041,サンド（アローラのすがた）,アローラサンド,アローラサンド,こおり,はがね,7,ねずみポケモン,NA,0.7,40.0,NA,ねずみポケモン。こおり・はがねタイプ。初登場はサン・ムーン。高さ0.7m、重さ40.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_91b88f0343.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1041,サンド（アローラのすがた）,サンド（アローラのすがた）,サンドアローラのすがた,こおり,はがね,7,ねずみポケモン,NA,0.7,40.0,NA,ねずみポケモン。こおり・はがねタイプ。初登場はサン・ムーン。高さ0.7m、重さ40.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_91b88f0343.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
27,サンドパン,サンドパン,サンドパン,じめん,NA,1,ねずみポケモン,NA,1.0,29.5,サンド,ねずみポケモン。じめんタイプ。初登場は赤・緑。サンドから進化。高さ1.0m、重さ29.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_05c8e77db3.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1042,サンドパン（アローラのすがた）,サンドパン,サンドパン,こおり,はがね,7,ねずみポケモン,NA,1.2,55.0,サンド,ねずみポケモン。こおり・はがねタイプ。初登場はサン・ムーン。サンドから進化。高さ1.2m、重さ55.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_adaf8f24ba.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1042,サンドパン（アローラのすがた）,アローラサンドパン,アローラサンドパン,こおり,はがね,7,ねずみポケモン,NA,1.2,55.0,サンド,ねずみポケモン。こおり・はがねタイプ。初登場はサン・ムーン。サンドから進化。高さ1.2m、重さ55.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_adaf8f24ba.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
