id,name,class,vertebrate,order,family,description,wikidata,scientific_name,aphia_id,jodc_code,image,image_page,image_group
30,アオウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,成体は海草や海藻を主に食べ体脂肪の色に由来する名を持つ。,Q199458,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Green_sea_turtle_%28Chelonia_mydas%29_Moorea.jpg/960px-Green_sea_turtle_%28Chelonia_mydas%29_Moorea.jpg,https://commons.wikimedia.org/wiki/File:Green%20sea%20turtle%20(Chelonia%20mydas)%20Moorea.jpg,爬虫類
31,アカウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,大きな頭と強い顎で貝やカニを砕き温帯から亜熱帯の砂浜へ産卵する。,Q192095,,,,,,爬虫類
32,タイマイ,爬虫類,脊椎動物,カメ目,ウミガメ科,細く尖った嘴でサンゴ礁の隙間から海綿を引き出して主食とする。,Q203538,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Tortuga_carey_%28Eretmochelys_imbricata%29%2C_parque_nacional_Ras_Muhammad%2C_Egipto%2C_2022-03-28%2C_DD_56.jpg/960px-Tortuga_carey_%28Eretmochelys_imbricata%29%2C_parque_nacional_Ras_Muhammad%2C_Egipto%2C_2022-03-28%2C_DD_56.jpg,https://commons.wikimedia.org/wiki/File:Tortuga%20carey%20(Eretmochelys%20imbricata)%2C%20parque%20nacional%20Ras%20Muhammad%2C%20Egipto%2C%202022-03-28%2C%20DD%2056.jpg,爬虫類
33,ヒメウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,オリーブ色の丸い甲羅を持ち多数の雌が同時に上陸する集団産卵を行う。,Q282385,,,,,,爬虫類
34,ケンプヒメウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,メキシコ湾を中心に暮らし雌が大群で同じ浜へ上陸する集団産卵を行う。,Q301089,,,,,,爬虫類
35,ヒラタウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,縁の反り返りが少ない扁平な甲羅を持ちオーストラリア周辺の浅海に限られる。,Q372997,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Natator_depressus00.jpg,https://commons.wikimedia.org/wiki/File:Natator%20depressus00.jpg,爬虫類
36,オサガメ,爬虫類,脊椎動物,カメ目,オサガメ科,角質の甲板がない革状の甲羅を持ち外洋を広く回遊してクラゲを食べる。,Q120043,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Dermochelys_coriacea_-_Julien_Renoult_-_12981952.jpeg/960px-Dermochelys_coriacea_-_Julien_Renoult_-_12981952.jpeg,https://commons.wikimedia.org/wiki/File:Dermochelys%20coriacea%20-%20Julien%20Renoult%20-%2012981952.jpeg,爬虫類
37,エラブウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,太い胴と縞模様を持ち陸上で産卵するため南西諸島の海岸へ上がる。,Q2372555,,,,,,爬虫類
38,ヒロオウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,幅広く扁平な尾を持ちサンゴ礁でウツボなどの細長い魚を捕食する。,Q1907959,,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Banded_Sea_Snake-jonhanson.jpg,https://commons.wikimedia.org/wiki/File:Banded%20Sea%20Snake-jonhanson.jpg,爬虫類
39,アオマダラウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,青みを帯びた地色に黒い帯が並び南西諸島の岩礁やサンゴ礁に暮らす。,Q383702,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Laticauda_colubrina_Lembeh2.jpg/960px-Laticauda_colubrina_Lembeh2.jpg,https://commons.wikimedia.org/wiki/File:Laticauda%20colubrina%20Lembeh2.jpg,爬虫類
40,クロガシラウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,黒い頭部と明瞭な横帯が特徴で浅いサンゴ礁に入り魚類を捕食する。,Q2703260,,,,,,爬虫類
41,セグロウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,背面が黒く腹面が黄色い二色の体を持ち一生を外洋で過ごす。,Q1247379,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pelamis_platura%2C_Costa_Rica.jpg/960px-Pelamis_platura%2C_Costa_Rica.jpg,https://commons.wikimedia.org/wiki/File:Pelamis%20platura%2C%20Costa%20Rica.jpg,爬虫類
42,ジンベエザメ,魚類,脊椎動物,テンジクザメ目,ジンベエザメ科,白い斑点のある巨大な体で海面近くを泳ぎプランクトンや小魚をこし取る。,Q80378,Rhincodon typus,105847,92020310010100,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Whale_shark_Georgia_aquarium.jpg/960px-Whale_shark_Georgia_aquarium.jpg,https://commons.wikimedia.org/wiki/File:Whale%20shark%20Georgia%20aquarium.jpg,魚類
43,ウバザメ,魚類,脊椎動物,ネズミザメ目,ウバザメ科,大きく開く口と長い鰓裂を持ち寒冷な海で動物プランクトンをろ過する。,Q185260,Cetorhinus maximus,105837,92020311010100,,,魚類
44,ホホジロザメ,魚類,脊椎動物,ネズミザメ目,ネズミザメ科,鋸歯状の大きな歯と円錐形の吻を持ち沿岸で魚類や海獣を捕食する。,Q129026,Carcharodon carcharias,105838,92020312010100,,,魚類
45,アオザメ,魚類,脊椎動物,ネズミザメ目,ネズミザメ科,紡錘形の体と尖った吻を持ち外洋を高速で泳いでマグロ類などを追う。,Q192158,Isurus oxyrinchus,105839,92020312030100,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Isurus_oxyrinchus_by_mark_conlin2.JPG/960px-Isurus_oxyrinchus_by_mark_conlin2.JPG,https://commons.wikimedia.org/wiki/File:Isurus%20oxyrinchus%20by%20mark%20conlin2.JPG,魚類
46,ネズミザメ,魚類,脊椎動物,ネズミザメ目,ネズミザメ科,体温を海水より高く保つ能力があり北太平洋の冷水域でサケ類を捕食する。,Q74371,Lamna ditropis,271421,92020312020100,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Lamna_ditropis.jpg/960px-Lamna_ditropis.jpg,https://commons.wikimedia.org/wiki/File:Lamna%20ditropis.jpg,魚類
47,ニタリ,魚類,脊椎動物,ネズミザメ目,オナガザメ科,上葉が著しく長い尾びれを振って小魚の群れを打ち弱らせて捕食する。,Q1274522,Alopias pelagicus,220019,92020308010200,https://upload.wikimedia.org/wikipedia/commons/a/a2/Alopias_pelagicus.jpg,https://commons.wikimedia.org/wiki/File:Alopias%20pelagicus.jpg,魚類
48,ヨシキリザメ,魚類,脊椎動物,メジロザメ目,メジロザメ科,細長い体と長い胸びれを持ち外洋を広く回遊して魚やイカを食べる。,Q26337,Prionace glauca,105801,92020304080100,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Tibur%C3%B3n_azul_%28Prionace_glauca%29%2C_canal_Fayal-Pico%2C_islas_Azores%2C_Portugal%2C_2020-07-27%2C_DD_14.jpg/960px-Tibur%C3%B3n_azul_%28Prionace_glauca%29%2C_canal_Fayal-Pico%2C_islas_Azores%2C_Portugal%2C_2020-07-27%2C_DD_14.jpg,https://commons.wikimedia.org/wiki/File:Tibur%C3%B3n%20azul%20(Prionace%20glauca)%2C%20canal%20Fayal-Pico%2C%20islas%20Azores%2C%20Portugal%2C%202020-07-27%2C%20DD%2014.jpg,魚類
49,イタチザメ,魚類,脊椎動物,メジロザメ目,メジロザメ科,虎状の暗色帯を持つ幼魚から大型化し硬い甲羅のウミガメも捕食する。,,Galeocerdo cuvier,105799,92020304010100,,,魚類
50,オオメジロザメ,魚類,脊椎動物,メジロザメ目,メジロザメ科,海水と淡水の双方へ適応し河川を遡って魚類や甲殻類を捕食する。,Q190469,,,,,,魚類
51,ツマグロ,魚類,脊椎動物,メジロザメ目,メジロザメ科,各ひれの先端が黒く染まり熱帯の浅いサンゴ礁や礁湖を活発に泳ぐ。,Q726384,Carcharhinus melanopterus,105795,92020304070900,,,魚類
52,シロワニ,魚類,脊椎動物,ネズミザメ目,シロワニ科,口から針状の歯が常に見え沿岸の洞窟周辺で魚やエイを捕食する。,Q625161,Carcharias taurus,105843,92020307020100,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Grey_Nurse_Shark_at_Fish_Rock_Cave%2C_NSW.jpg/960px-Grey_Nurse_Shark_at_Fish_Rock_Cave%2C_NSW.jpg,https://commons.wikimedia.org/wiki/File:Grey%20Nurse%20Shark%20at%20Fish%20Rock%20Cave%2C%20NSW.jpg,魚類
53,トラフザメ,魚類,脊椎動物,テンジクザメ目,トラフザメ科,成魚は体に暗色の斑点が並び海底で休みながら貝や甲殻類を食べる。,Q169468,Stegostoma tigrinum,313100,92020309030100,https://upload.wikimedia.org/wikipedia/commons/0/01/Sphyrna_mokarran_at_georgia.jpg,https://commons.wikimedia.org/wiki/File:Sphyrna%20mokarran%20at%20georgia.jpg,魚類
54,ネコザメ,魚類,脊椎動物,ネコザメ目,ネコザメ科,豚のような吻と臼歯状の奥歯を使い海底の貝やウニを殻ごと砕く。,Q762929,Heterodontus japonicus,276696,92020101010100,https://upload.wikimedia.org/wikipedia/commons/9/91/Heterodontus_japonicus_port_of_nagoya.jpg,https://commons.wikimedia.org/wiki/File:Heterodontus%20japonicus%20port%20of%20nagoya.jpg,魚類
55,カスザメ,魚類,脊椎動物,カスザメ目,カスザメ科,エイに似た扁平な体を砂へ埋め頭上を通る魚を待ち伏せて捕食する。,Q28832,Squatina japonica,271670,92020403010100,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Squatina_japonica2.jpg/960px-Squatina_japonica2.jpg,https://commons.wikimedia.org/wiki/File:Squatina%20japonica2.jpg,魚類
56,ノコギリザメ,魚類,脊椎動物,ノコギリザメ目,ノコギリザメ科,吻から伸びる鋸状器官を左右に振り海底の魚や甲殻類を探して捕らえる。,Q29113,Pristiophorus japonicus,282353,92020402010100,https://upload.wikimedia.org/wikipedia/commons/9/98/Pristiophorus_japonicus.jpg,https://commons.wikimedia.org/wiki/File:Pristiophorus%20japonicus.jpg,魚類
57,シュモクザメ,魚類,脊椎動物,メジロザメ目,シュモクザメ科,左右へ張り出した頭部の両端に目があり広い範囲を見渡して獲物を探す。,,,,,,,魚類
58,アカシュモクザメ,魚類,脊椎動物,メジロザメ目,シュモクザメ科,頭部前縁中央のくぼみが深く暖海の沿岸で魚や頭足類を捕食する。,Q873701,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Corl0184_%2827688326114%29.jpg/960px-Corl0184_%2827688326114%29.jpg,https://commons.wikimedia.org/wiki/File:Corl0184%20(27688326114).jpg,魚類
59,オニイトマキエイ,魚類,脊椎動物,トビエイ目,イトマキエイ科,口の前にある頭鰭でプランクトンを集め外洋を長距離回遊する大型のエイ。,Q321976,Mobula birostris,1026118,92020511020100,https://upload.wikimedia.org/wikipedia/commons/4/4b/Manta_birostris-Thailand3.jpg,https://commons.wikimedia.org/wiki/File:Manta%20birostris-Thailand3.jpg,魚類
60,ナンヨウマンタ,魚類,脊椎動物,トビエイ目,イトマキエイ科,腹面に斑点模様がありサンゴ礁周辺で動物プランクトンをろ過して食べる。,Q1620164,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Manta_alfredi_cruising_-_journal.pone.0046170.g002A.png,https://commons.wikimedia.org/wiki/File:Manta%20alfredi%20cruising%20-%20journal.pone.0046170.g002A.png,魚類
61,マダラトビエイ,魚類,脊椎動物,トビエイ目,マダラトビエイ科,背面の白い斑点と長い尾が目立ち海底の二枚貝を硬い歯板で砕く。,Q5033530,Aetobatus narinari,217426,92020512030100,https://upload.wikimedia.org/wikipedia/commons/e/ef/Aetobatus_ocellatus.jpg,https://commons.wikimedia.org/wiki/File:Aetobatus%20ocellatus.jpg,魚類
62,アカエイ,魚類,脊椎動物,トビエイ目,アカエイ科,尾に毒棘を備え砂泥底へ潜って貝類や甲殻類などの底生動物を食べる。,Q28776833,Hemitrygon akajei,1042845,92020509010800,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Hemitrygon_akajei_Albino.jpg/960px-Hemitrygon_akajei_Albino.jpg,https://commons.wikimedia.org/wiki/File:Hemitrygon%20akajei%20Albino.jpg,魚類
63,ヒラタエイ,魚類,脊椎動物,トビエイ目,ヒラタエイ科,丸みのある小さな体盤と短い尾を持ち沿岸の砂底で小動物を捕食する。,Q1039266,Urolophus aurantiacus,283093,92020507010100,https://upload.wikimedia.org/wikipedia/commons/c/c0/HirataEI.jpg,https://commons.wikimedia.org/wiki/File:HirataEI.jpg,魚類
64,シビレエイ,魚類,脊椎動物,シビレエイ目,シビレエイ科,発電器官で強い電気を起こし砂底に潜んで魚をしびれさせて捕食する。,Q4668667,Narke japonica,278822,92020502030200,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Narke_japonica.jpg/960px-Narke_japonica.jpg,https://commons.wikimedia.org/wiki/File:Narke%20japonica.jpg,魚類
65,ガンギエイ,魚類,脊椎動物,ガンギエイ目,ガンギエイ科,吻が尖った菱形の体盤を持ち寒冷な海の底で甲殻類や小魚を食べる。,,Okamejei kenojei,279183,92020505010100,,,魚類
66,クロマグロ,魚類,脊椎動物,サバ目,サバ科,胸びれが短く太い紡錘形の体で太平洋を横断しながら魚やイカを追う。,Q1766955,Thunnus thynnus,127029,92033101110500,,,魚類
67,ミナミマグロ,魚類,脊椎動物,サバ目,サバ科,南半球の冷温帯を回遊し筋肉の温度を保ちながら魚や頭足類を捕食する。,Q1142258,,,,,,魚類
68,メバチ,魚類,脊椎動物,サバ目,サバ科,大きな目で薄暗い深層の獲物を探し日中は深く夜間は浅層へ上がる。,Q1122241,Thunnus obesus,127028,92033101110300,,,魚類
69,キハダ,魚類,脊椎動物,サバ目,サバ科,黄色い小離鰭と長い第二背びれが目立ち熱帯の外洋で魚やイカを追う。,Q269781,Thunnus albacares,127027,92033101110100,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Yellowfin_tuna_nurp.jpg/960px-Yellowfin_tuna_nurp.jpg,https://commons.wikimedia.org/wiki/File:Yellowfin%20tuna%20nurp.jpg,魚類
70,ビンナガ,魚類,脊椎動物,サバ目,サバ科,非常に長い胸びれを持ち温帯の外洋で群れをつくって小魚を捕食する。,Q239977,Thunnus alalunga,127026,92033101110400,,,魚類
71,カツオ,魚類,脊椎動物,サバ目,サバ科,腹面に数本の黒い縦帯があり大群で小魚を追いながら広く回遊する。,Q633957,Katsuwonus pelamis,127018,92033101100100,,,魚類
72,サワラ,魚類,脊椎動物,サバ目,サバ科,細長い体と鋭い歯を持ち沿岸の表層を泳いでイワシなどを捕食する。,Q247720,Scomberomorus niphonius,273817,92033101040100,,,魚類
73,シイラ,魚類,脊椎動物,アジ目,シイラ科,雄は額が高く張り出し流木などの漂流物の下に集まって小魚を狙う。,Q14443,Coryphaena hippurus,126846,92032726010200,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Female_Dolphin_Fish.jpg/960px-Female_Dolphin_Fish.jpg,https://commons.wikimedia.org/wiki/File:Female%20Dolphin%20Fish.jpg,魚類
74,バショウカジキ,魚類,脊椎動物,カジキ目,マカジキ科,帆のように大きな第一背びれを広げ長い吻で小魚の群れを追い込む。,Q694527,,,,,,魚類
75,メカジキ,魚類,脊椎動物,カジキ目,メカジキ科,平たく長い剣状の上顎を持ち背びれと腹びれを体内へ収納して高速で泳ぐ。,Q164327,Xiphias gladius,127094,92032903010100,,,魚類
76,クロカジキ,魚類,脊椎動物,カジキ目,マカジキ科,濃い青色の背と長い槍状の上顎を持ち熱帯の外洋で大型魚を追う。,Q2563629,Makaira mazara,219729,92032901030100,https://upload.wikimedia.org/wikipedia/commons/b/be/Istiophoridae_-_Makaira_mazara.JPG,https://commons.wikimedia.org/wiki/File:Istiophoridae%20-%20Makaira%20mazara.JPG,魚類
77,マアジ,魚類,脊椎動物,アジ目,アジ科,体側後半に硬い稜鱗が並び沿岸で動物プランクトンや小魚を食べる。,Q1330320,Trachurus japonicus,273302,92032724220100,,,魚類
78,シマアジ,魚類,脊椎動物,アジ目,アジ科,体側中央に黄色い帯が走り岩礁域で甲殻類や小魚を捕食する。,,Pseudocaranx dentex,126812,92032724110100,,,魚類
79,ブリ,魚類,脊椎動物,アジ目,アジ科,成長に伴い呼び名が変わる魚で沿岸を回遊しイワシなどの群れを追う。,Q1202973,Seriola quinqueradiata,276651,92032724030100,,,魚類
80,カンパチ,魚類,脊椎動物,アジ目,アジ科,目を通る斜めの暗色帯が八の字に見え暖海の岩礁で魚やイカを食べる。,Q575704,Seriola dumerili,126816,92032724030300,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Seriola_dumerili_-_Sanc2431.jpg/960px-Seriola_dumerili_-_Sanc2431.jpg,https://commons.wikimedia.org/wiki/File:Seriola%20dumerili%20-%20Sanc2431.jpg,魚類
81,ヒラマサ,魚類,脊椎動物,アジ目,アジ科,上顎後端が目の中央下まで届き細長い体で沖合の小魚を高速で追う。,Q2157453,Seriola lalandi,218436,92032724030200,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Kingfish.jpg/960px-Kingfish.jpg,https://commons.wikimedia.org/wiki/File:Kingfish.jpg,魚類
82,マイワシ,魚類,脊椎動物,ニシン目,ニシン科,体側に黒い斑点列があり大群で沿岸を回遊してプランクトンを食べる。,Q2069084,Sardinops sagax,217452,92030201040100,,,魚類
